m,TagName,
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6690"
"2011-02-01 00:00:00","python","3007"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1246"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c#","9981"
"2011-03-01 00:00:00","c++","4173"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8459"
"2011-03-01 00:00:00","javascript","6763"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8080"
"2011-03-01 00:00:00","python","3746"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1638"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c#","9268"
"2011-04-01 00:00:00","c++","4163"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7889"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7632"
"2011-04-01 00:00:00","python","3336"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","9997"
"2011-05-01 00:00:00","c++","3875"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8556"
"2011-05-01 00:00:00","javascript","7310"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8079"
"2011-05-01 00:00:00","python","3516"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c#","9739"
"2011-06-01 00:00:00","c++","3805"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7885"
"2011-06-01 00:00:00","javascript","7674"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8011"
"2011-06-01 00:00:00","python","3464"
"2011-06-01 00:00:00","r","443"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c#","9594"
"2011-07-01 00:00:00","c++","3847"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8147"
"2011-07-01 00:00:00","javascript","8101"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8659"
"2011-07-01 00:00:00","python","3659"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1582"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c#","10052"
"2011-08-01 00:00:00","c++","3953"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","flutter","1"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8675"
"2011-08-01 00:00:00","javascript","8897"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8903"
"2011-08-01 00:00:00","python","3824"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1858"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c#","9294"
"2011-09-01 00:00:00","c++","3940"
"2011-09-01 00:00:00","dart","2"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8314"
"2011-09-01 00:00:00","javascript","8184"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8047"
"2011-09-01 00:00:00","python","3513"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1545"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c#","9212"
"2011-10-01 00:00:00","c++","4343"
"2011-10-01 00:00:00","dart","18"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8551"
"2011-10-01 00:00:00","javascript","8026"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8053"
"2011-10-01 00:00:00","python","3616"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1610"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c#","9898"
"2011-11-01 00:00:00","c++","4475"
"2011-11-01 00:00:00","dart","4"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9637"
"2011-11-01 00:00:00","javascript","8680"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8672"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","606"
"2011-11-01 00:00:00","ruby","1740"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c#","9314"
"2011-12-01 00:00:00","c++","4358"
"2011-12-01 00:00:00","dart","4"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9202"
"2011-12-01 00:00:00","javascript","8333"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8335"
"2011-12-01 00:00:00","python","3619"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1683"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c#","10441"
"2012-01-01 00:00:00","c++","4545"
"2012-01-01 00:00:00","dart","8"
"2012-01-01 00:00:00","delphi","512"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10138"
"2012-01-01 00:00:00","javascript","9603"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9302"
"2012-01-01 00:00:00","python","4206"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1902"
"2012-01-01 00:00:00","rust","1"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","231"
"2012-02-01 00:00:00","c#","10753"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","dart","11"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10944"
"2012-02-01 00:00:00","javascript","9994"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9917"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","reactjs","1"
"2012-02-01 00:00:00","ruby","2041"
"2012-02-01 00:00:00","rust","6"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c#","11586"
"2012-03-01 00:00:00","c++","5228"
"2012-03-01 00:00:00","dart","4"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12381"
"2012-03-01 00:00:00","javascript","10703"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10870"
"2012-03-01 00:00:00","python","5029"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2189"
"2012-03-01 00:00:00","rust","4"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c#","11117"
"2012-04-01 00:00:00","c++","5296"
"2012-04-01 00:00:00","dart","24"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12013"
"2012-04-01 00:00:00","javascript","10664"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10387"
"2012-04-01 00:00:00","python","4916"
"2012-04-01 00:00:00","r","840"
"2012-04-01 00:00:00","ruby","1966"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c#","11566"
"2012-05-01 00:00:00","c++","4990"
"2012-05-01 00:00:00","dart","23"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12171"
"2012-05-01 00:00:00","javascript","11513"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10919"
"2012-05-01 00:00:00","python","5091"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1974"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c#","11313"
"2012-06-01 00:00:00","c++","4645"
"2012-06-01 00:00:00","dart","25"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11095"
"2012-06-01 00:00:00","javascript","11222"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10556"
"2012-06-01 00:00:00","python","5269"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1886"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c#","12311"
"2012-07-01 00:00:00","c++","5269"
"2012-07-01 00:00:00","dart","34"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12238"
"2012-07-01 00:00:00","javascript","12312"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11712"
"2012-07-01 00:00:00","python","5721"
"2012-07-01 00:00:00","r","1118"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","rust","5"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11933"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","dart","42"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12243"
"2012-08-01 00:00:00","javascript","12433"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11872"
"2012-08-01 00:00:00","python","5860"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2059"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c#","11263"
"2012-09-01 00:00:00","c++","4907"
"2012-09-01 00:00:00","dart","33"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11612"
"2012-09-01 00:00:00","javascript","11165"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10970"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1955"
"2012-09-01 00:00:00","rust","1"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c#","12712"
"2012-10-01 00:00:00","c++","5907"
"2012-10-01 00:00:00","dart","81"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13471"
"2012-10-01 00:00:00","javascript","12414"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11749"
"2012-10-01 00:00:00","python","6130"
"2012-10-01 00:00:00","r","1267"
"2012-10-01 00:00:00","ruby","2255"
"2012-10-01 00:00:00","rust","2"
"2012-10-01 00:00:00","swift","4"
"2012-11-01 00:00:00","assembly","303"
"2012-11-01 00:00:00","c#","12234"
"2012-11-01 00:00:00","c++","6267"
"2012-11-01 00:00:00","dart","76"
"2012-11-01 00:00:00","delphi","442"
"2012-11-01 00:00:00","flutter","2"
"2012-11-01 00:00:00","go","104"
"2012-11-01 00:00:00","java","13592"
"2012-11-01 00:00:00","javascript","12324"
"2012-11-01 00:00:00","perl","637"
"2012-11-01 00:00:00","php","11738"
"2012-11-01 00:00:00","python","6389"
"2012-11-01 00:00:00","r","1345"
"2012-11-01 00:00:00","ruby","2129"
"2012-11-01 00:00:00","rust","6"
"2012-11-01 00:00:00","swift","4"
"2012-12-01 00:00:00","assembly","264"
"2012-12-01 00:00:00","c#","10946"
"2012-12-01 00:00:00","c++","5682"
"2012-12-01 00:00:00","dart","87"
"2012-12-01 00:00:00","delphi","428"
"2012-12-01 00:00:00","go","112"
"2012-12-01 00:00:00","java","12407"
